Date,MealPeriod,CheckTotal,RevenueCenterName
2023-04-18 00:00:00,Dinner,125,RevenueCenter_1
2023-04-18 00:00:00,Dinner,37.5,RevenueCenter_1
2023-04-18 00:00:00,Dinner,0,RevenueCenter_1
2023-04-18 00:00:00,Dinner,0,RevenueCenter_1
2023-04-18 00:00:00,Dinner,70,RevenueCenter_2
2023-04-18 00:00:00,Dinner,35,RevenueCenter_2
2023-04-18 00:00:00,Lunch,0,RevenueCenter_2
2023-04-18 00:00:00,BreakFast,17.5,RevenueCenter_2
2023-04-18 00:00:00,BreakFast,0,RevenueCenter_2
2023-04-18 00:00:00,BreakFast,0,RevenueCenter_2
2023-04-18 00:00:00,BreakFast,0,RevenueCenter_2
2023-04-18 00:00:00,Lunch,45,RevenueCenter_2
2023-04-18 00:00:00,Lunch,92,RevenueCenter_2
2023-04-18 00:00:00,Lunch,105,RevenueCenter_2
2023-04-18 00:00:00,Dinner,48,RevenueCenter_3
2023-04-18 00:00:00,Dinner,140,RevenueCenter_3
2023-04-18 00:00:00,Dinner,0,RevenueCenter_3
2023-04-18 00:00:00,Dinner,45,RevenueCenter_3
2023-04-18 00:00:00,Dinner,48,RevenueCenter_3
2023-04-18 00:00:00,Dinner,169,RevenueCenter_3
2023-04-18 00:00:00,Dinner,950,RevenueCenter_3
2023-04-18 00:00:00,Dinner,68,RevenueCenter_3
2023-04-18 00:00:00,Dinner,105,RevenueCenter_3
2023-04-18 00:00:00,Dinner,96,RevenueCenter_3
2023-04-18 00:00:00,Dinner,198,RevenueCenter_3
2023-04-18 00:00:00,Dinner,63,RevenueCenter_3
2023-04-18 00:00:00,Dinner,2,RevenueCenter_3
2023-04-18 00:00:00,Dinner,60,RevenueCenter_3
2023-04-18 00:00:00,Lunch,72,RevenueCenter_3
2023-04-18 00:00:00,Dinner,30,RevenueCenter_3
2023-04-18 00:00:00,Dinner,0,RevenueCenter_3
2023-04-18 00:00:00,Dinner,145,RevenueCenter_3
2023-04-18 00:00:00,Dinner,18,RevenueCenter_3
2023-04-18 00:00:00,Dinner,115,RevenueCenter_3
2023-04-18 00:00:00,Dinner,137,RevenueCenter_3
2023-04-18 00:00:00,Dinner,147.75,RevenueCenter_3
2023-04-18 00:00:00,Dinner,30,RevenueCenter_3
2023-04-18 00:00:00,Dinner,174,RevenueCenter_3
2023-04-18 00:00:00,Dinner,108,RevenueCenter_3
2023-04-18 00:00:00,Dinner,1000,RevenueCenter_3
2023-04-18 00:00:00,Dinner,30,RevenueCenter_3
2023-04-18 00:00:00,Dinner,279,RevenueCenter_3
